,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
757,drivers/net/ethernet/oki-semi/pch_gbe/pch_gbe_phy.c,366,5,6,1311247043.0,1559120274.0,1330620704.1912568,7,,0.0
758,arch/arm/mach-highbank/highbank.c,175,8,23,1307412175.0,1559009404.0,1347906386.9257143,46,,0.0
759,drivers/clk/hisilicon/clk.c,343,10,16,1384303883.0,1558252291.0,1424538413.5247812,17,c744b63b6c42,5.88235294117647
760,sound/core/sound_oss.c,244,5,10,1311247043.0,1558918505.0,1317318144.4795082,13,,0.0
761,drivers/gpu/drm/vmwgfx/vmwgfx_fifo.c,692,9,26,1311247043.0,1561263814.0,1348825816.6729379,30,f0c62e987802,3.3333333333333335
762,drivers/gpu/drm/nouveau/nvkm/core/object.c,336,1,11,1341531403.0,1509479779.0,1442845266.6607144,15,,0.0
763,drivers/dma/sh/shdmac.c,938,14,46,1307682648.0,1535009694.0,1331070488.0202558,24,7d3beab16dd9,4.166666666666666
764,arch/microblaze/kernel/cpu/cpuinfo-static.c,145,3,3,1306234631.0,1418889720.0,1311954837.9310346,3,,0.0
765,drivers/usb/gadget/function/f_uac2.c,1140,18,31,1328191294.0,1530546407.0,1397191996.1666667,39,eec24f2a0d4d,10.256410256410255
766,lib/fdt.c,2,1,1,1341483158.0,1341483158.0,1341483158.0,1,,0.0
767,drivers/firmware/efi/earlycon.c,244,3,3,1549075278.0,1577168947.0,1553798053.3565574,3,d92b54570d24,66.66666666666666
768,drivers/watchdog/npcm_wdt.c,250,3,4,1520930846.0,1558193263.0,1521619032.508,4,,0.0
769,drivers/net/wireless/ath/ath9k/htc_drv_txrx.c,1187,16,30,1311247043.0,1569556306.0,1325363430.9519799,37,d21ccfd0a60e,2.7027027027027026
770,arch/mips/kernel/binfmt_elfn32.c,106,6,8,1311247043.0,1531457548.0,1334204640.1603773,9,,0.0
771,drivers/staging/rtl8188eu/hal/hal_com.c,285,4,13,1377095631.0,1539490662.0,1400025194.7894738,21,,0.0
772,drivers/clk/meson/gxbb.c,3522,12,59,1463989466.0,1569056651.0,1522606478.556502,79,44b09b11b813,17.72151898734177
773,drivers/net/dsa/lan9303_mdio.c,163,4,6,1492483707.0,1558918521.0,1494416381.7791412,6,,0.0
774,drivers/net/ethernet/mellanox/mlxsw/spectrum2_mr_tcam.c,330,2,3,1531883672.0,1544397105.0,1542512666.539394,3,,0.0
775,tools/testing/selftests/bpf/prog_tests/map_lock.c,75,2,4,1551440538.0,1566377066.0,1555236105.4266667,4,d6f1837107c0,50.0
776,tools/testing/selftests/bpf/progs/sendmsg6_prog.c,59,3,3,1527209727.0,1579500405.0,1529597476.1525424,3,3e689141e64d,33.33333333333333
777,arch/openrisc/mm/ioremap.c,130,5,6,1307156771.0,1566005552.0,1333517003.0692308,11,,0.0
778,net/mac80211/rc80211_minstrel.c,591,13,32,1306480715.0,1570533099.0,1362142929.0795262,51,212c5a5e6ba6,3.9215686274509802
