file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
tools/testing/selftests/kvm/dirty_log_test.c,513,5,22,1534922400,1567128979,1541684046,27,bffed38d4fb5,11.11111111
drivers/hv/hv_snapshot.c,439,7,23,1363321806,1579960184,1435074410,29,e9c18ae6eb2b,10.34482759
drivers/usb/host/ohci-exynos.c,328,14,30,1324610454,1578126055,1380394488,49,68bd6fc3cfa9,2.040816327
net/bluetooth/l2cap_core.c,7789,46,406,1296049377,1577948457,1349485427,562,df66499a1fab,0.711743772
drivers/ata/libata-scsi.c,5142,47,121,1302853919,1575116892,1355168659,152,2c1ec6fda2d0,2.631578947
drivers/firmware/efi/cper.c,575,15,26,1311247043,1570013938,1383681328,22,b194a77fcc40,4.545454545
drivers/nfc/pn533/uart.c,330,1,3,1572335234,1573627822,1572374403,3,1e37be7d27d0,33.33333333
drivers/macintosh/smu.c,1337,15,23,1311247043,1564468624,1317236241,26,7440ea8b2a44,3.8461538460000004
drivers/mmc/host/sdhci-omap.c,1253,9,31,1504689355,1583823902,1519265863,34,feb40824d78e,11.76470588
arch/s390/kernel/process.c,240,11,42,1311247043,1572247062,1392782053,66,8769f610fe6d,3.03030303
tools/lib/bpf/libbpf_errno.c,66,4,5,1531204984,1578622756,1533735011,5,1d1a3bcffe36,20.0
arch/arm64/kernel/traps.c,1057,30,97,1330919367,1571996535,1473776772,131,2671828c3ff4,11.45038168
drivers/usb/core/buffer.c,172,12,13,1311247043,1565489116,1355365090,14,dd3ecf17ba70,7.142857143
kernel/time/tick-broadcast-hrtimer.c,111,8,10,1391751392,1569484261,1451745619,13,b9023b91dd02,7.692307692000001
drivers/s390/block/dasd.c,4267,18,84,1311247043,1583993835,1358676424,103,5e6bdd37c552,1.9417475730000002
net/sctp/ulpqueue.c,1136,12,30,1311247043,1575870318,1333347664,40,7906b00f5cd1,5.0
drivers/gpu/drm/ttm/ttm_bo_vm.c,534,20,43,1311247043,1574386475,1457321762,62,e5516553999f,8.064516129
drivers/net/dsa/mt7530.c,1734,11,29,1491554709,1578402365,1513681464,41,18bd5949e5c8,4.87804878
sound/soc/sh/rcar/dma.c,875,4,54,1424399155,1571748918,1464009200,68,d10be65f87fc,2.9411764710000003
drivers/xen/events/events_base.c,1714,26,73,1310015944,1575005981,1335819643,61,bce5963bcb4f,4.918032787
drivers/staging/fbtft/fb_ili9163.c,264,11,13,1426847874,1567758652,1438551073,16,92e3e884887c,6.25
sound/soc/tegra/tegra_wm8903.c,381,10,27,1305014297,1575941648,1336210688,45,f3f7df7635bd,2.222222222
drivers/gpu/drm/radeon/radeon_atpx_handler.c,615,12,33,1311247043,1559008638,1354457174,42,bcfdd5d51050,4.7619047619999995
net/bridge/netfilter/ebtables.c,2464,34,58,1311247043,1576352965,1343391542,70,e608f631f0ba,18.57142857
arch/powerpc/mm/slice.c,782,12,47,1311247043,1576909014,1419409541,63,91a063c95608,14.28571429
fs/f2fs/inline.c,780,18,98,1384096399,1575889385,1457146393,139,98194030554c,2.877697842
net/batman-adv/main.c,753,11,96,1306662216,1577808001,1396536985,164,a3c7cd0cdf11,1.219512195
drivers/net/wireless/broadcom/b43/phy_common.c,593,8,27,1305655598,1558252310,1331377577,5,8ea3819c0bbe,20.0
tools/perf/arch/arm64/annotate/instructions.c,122,4,8,1480469024,1569829692,1509666365,8,d1f7b0234ec7,12.5
drivers/hwmon/w83773g.c,307,3,5,1510543653,1558918501,1511698858,5,571e3f3a8e65,20.0
arch/powerpc/platforms/pseries/pseries_energy.c,362,10,10,1311247043,1573399289,1378136748,9,ce9afe08e71e,11.11111111
