lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,fixes_percent
390,5,9,1311247043,1558918505,1323175499,8,0
803,8,24,1311247043,1559959360,1350913208,27,0
94,2,2,1508731834,1558918521,1509265735,2,0
144,10,18,1311247043,1573193760,1369630220,23,13.04347826
428,9,15,1486092568,1568202433,1514226015,18,5.555555556
515,6,7,1550821850,1576464653,1552199228,8,0
194,3,4,1432832641,1498805990,1439104856,4,0
1114,4,4,1311247043,1558242500,1312835887,3,0
2260,21,25,1306881908,1578275030,1312812977,28,3.571428571
1247,21,31,1306881908,1579615773,1323359665,38,5.263157895
309,9,13,1311247043,1558581279,1332332285,12,0
207,14,23,1307334946,1523446519,1369697509,26,7.692307692
7148,109,323,1306881908,1583825257,1391669717,419,15.99045346
115,6,7,1310706817,1578014177,1317523082,6,0
531,7,7,1303125322,1559009409,1304534838,9,0
633,2,3,1526622960,1537525498,1526771354,3,0
44,1,1,1558831838,1558831838,1558831838,1,0
475,9,12,1374602115,1559614293,1381212879,16,6.25
476,8,17,1428554149,1565891335,1444505128,3,0
975,19,28,1311247043,1578158495,1339665571,37,0
1113,6,15,1404041925,1574996165,1441502195,16,25
89,5,6,1311247043,1559009413,1353149284,7,0
131,5,6,1308572746,1572339858,1349185900,10,0
655,13,22,1311247043,1576039663,1328879785,23,4.347826087
1420,6,12,1522132995,1572806433,1525144872,16,12.5
60,1,1,1552134012,1552134012,1552134012,1,0
1255,19,31,1335405604,1559614293,1341744469,3,0
689,17,26,1311084628,1564446149,1319453680,30,0
2834,55,171,1480994768,1575888866,1518068072,249,0
706,7,25,1532607712,1575187269,1537598079,7,14.28571429
917,9,10,1308546031,1575342242,1311293531,9,0
336,6,6,1353985798,1559519090,1355218635,8,0
388,7,7,1311247043,1578275030,1314565677,8,0
359,5,8,1311247043,1558918505,1313679845,8,0
3471,45,212,1411661817,1579510426,1518708242,266,18.04511278
280,7,18,1307354793,1578014206,1323324860,19,0
46,1,3,1461639783,1544778407,1468773343,4,0
1622,14,24,1311247043,1575376252,1338308023,29,3.448275862
194,11,13,1310980634,1573286900,1350988499,13,23.07692308
342,5,6,1311247043,1559486457,1316943191,7,0
1033,20,39,1372038867,1579615773,1408278987,45,6.666666667
125,9,10,1293289909,1558918501,1347465006,11,18.18181818
400,1,1,1538549763,1538549763,1538549763,1,0
56,5,5,1309672992,1561347734,1373922510,4,0
3276,39,178,1308892454,1578452400,1401941335,173,2.89017341
130,4,5,1311247043,1578014196,1328432992,4,0
401,6,11,1477721617,1558252303,1487812298,11,0
150,2,3,1521595212,1565749814,1522116088,3,0
369,7,8,1311247043,1533636683,1322071966,8,0
613,5,35,1395701507,1559236197,1403829274,51,1.960784314
74,1,4,1440053659,1525783186,1451638730,4,0
1027,3,22,1436845205,1564469010,1452496151,24,0
432,6,7,1337499979,1569477105,1338806010,14,0
63,1,1,1574237711,1574237711,1574237711,1,0
164,6,6,1311247043,1560233600,1367587668,6,33.33333333
160,4,4,1464753594,1559614293,1466162578,4,0
665,2,11,1516584420,1579148081,1523497255,12,8.333333333
2909,25,54,1311084628,1580393513,1333935769,64,4.6875
714,13,15,1311247043,1561302833,1316221020,19,0
90,1,1,1573222737,1573222737,1573222737,1,0
83,8,9,1316425501,1558918501,1369699153,11,9.090909091
677,12,22,1343693784,1574848150,1367311287,29,6.896551724
415,5,8,1541460146,1583375834,1542229585,8,0
382,9,15,1438856206,1574038236,1487941425,17,5.882352941
121,3,3,1480330534,1559614293,1481300761,3,0
192,4,6,1311247043,1558918501,1317245770,9,11.11111111
1115,8,21,1420604650,1569816869,1507332858,24,8.333333333
6724,17,52,1381963565,1553156267,1412958775,58,13.79310345
455,6,7,1530582622,1563237727,1532008906,9,0
157,7,11,1311247043,1580348605,1340666966,10,20
1817,27,83,1246581886,1566913762,1398117519,105,0.952380952
397,8,15,1454484142,1559519091,1472415122,6,0
247,9,13,1311247043,1576066030,1324966405,14,7.142857143
108,2,2,1426066812,1558337869,1427291544,3,0
