lines,authors,shas,the_first_time,the_last_time,average_time,total_shas,true_y,linear_y,tree_y
6.163314804,1.609437912,2.079441542,20.99701512,21.17856183,21.11842287,2.564949357,0.069767442,0.192606666,0.19752322
5.056245805,1.386294361,2.079441542,21.14586924,21.17651611,21.14813318,2.079441542,0.118217054,0.230060578,0.19752322
5.017279837,1.791759469,2.772588722,20.99424446,21.16577401,21.02892721,3.663561646,0.069767442,0.019950789,0.031493541
6.361302478,2.079441542,3.465735903,21.08372651,21.1817307,21.09832723,3.465735903,0.02374031,0.102684611,0.069856459
5.017279837,2.397895273,2.833213344,20.99145629,21.1642136,21.06652775,3.135494216,0.079878665,0.109451428,0.151226482
5.720311777,2.302585093,3.555348061,21.01882485,21.11687615,21.06211421,3.713572067,0.065986009,0.043214445,0.192630069
5.030437921,2.079441542,2.302585093,21.02962097,21.16770438,21.09070451,2.397895273,0.175475687,0.180984686,0.05590967
8.155936338,3.737669618,5.693732139,20.98914984,21.18076957,21.07477839,6.238324625,0.049327762,-0.090075219,0.06391246
5.529429088,2.302585093,2.564949357,20.99424446,21.1722913,21.00849131,2.708050201,0.19379845,0.09809237,0.097213622
6.423246964,2.48490665,3.663561646,21.08668644,21.16470161,21.11608329,3.912023005,0.03255814,0.086207088,0.210897833
7.167037877,2.197224577,3.433987204,21.13780326,21.17278914,21.1418623,3.526360525,0.199726402,0.134233452,0.04969855
5.826000107,2.079441542,2.197224577,20.99424446,21.17163654,21.00535833,2.397895273,0.083861875,0.117812063,0.19752322
7.198183577,2.708050201,3.135494216,20.99424446,21.17081207,20.99880162,3.258096538,0.031007752,0.062156358,0.0145022
3.970291914,1.386294361,1.386294361,21.12081773,21.16753807,21.12259844,1.386294361,0.244186047,0.260982862,0.33126935
5.877735782,2.302585093,2.708050201,20.99424446,21.17083366,21.01701682,3.401197382,0.059431525,0.049859838,0.008567931
6.169610732,2.079441542,2.302585093,21.09660298,21.16770438,21.11342715,2.302585093,0.093023256,0.207506052,0.068553737
4.9698133,2.48490665,3.17805383,20.99357867,21.16893799,21.06197852,3.761200116,0.015684154,0.056386229,0.0145022
6.773080376,2.197224577,2.772588722,21.0857458,21.17932228,21.0865006,2.890371758,0.048234281,0.145706511,0.03869969
5.641907071,1.945910149,2.302585093,20.99306903,21.17993438,21.0153544,2.302585093,0.093023256,0.131861923,0.355152587
8.181720455,2.63905733,3.218875825,20.99424446,21.16725815,20.99854884,3.36729583,0.061748196,0.055710677,0.02556391
7.226936018,3.295836866,4.025351691,20.99424446,21.16947771,21.05066648,4.204692619,0.052412357,0.040608666,0.048610003
5.814130532,2.079441542,2.48490665,20.98947983,21.18381518,21.01694677,2.944438979,0.045287638,0.085819073,0.189807097
7.244227516,3.784189634,4.828313737,20.99090991,21.17703787,21.08824257,5.164785974,0.061351052,0.006203891,0.013692242
6.309918278,1.098612289,2.397895273,21.12372019,21.14013866,21.12993315,2.397895273,0.083861875,0.180730434,0.361666198
6.930494766,2.48490665,2.63905733,20.99115389,21.17807787,20.99634647,2.564949357,0.069767442,0.113311246,0.05590967
6.786716951,2.48490665,3.63758616,20.99391896,21.16860884,21.08275006,3.784189634,0.083861875,0.081043406,0.0145022
7.317212408,1.945910149,2.944438979,21.10836212,21.16788375,21.1143631,3.17805383,0.07622739,0.137121506,0.017375371
7.843064017,2.63905733,4.672828834,21.06771586,21.17197047,21.08376365,4.820281566,0.016629157,-0.002570416,0.026262931
6.710523109,2.708050201,3.218875825,20.99002459,21.16770438,20.99698732,3.433987204,0.024756189,0.042937915,0.0145022
7.828038032,3.931825633,4.983606622,20.99272225,21.18310712,21.04393519,5.513428746,0.024756189,-0.052168868,0.08503132
6.954638865,2.397895273,3.36729583,21.10425634,21.17708861,21.11581398,3.496507561,0.14493775,0.122934793,0.015479876
8.11342664,3.583518938,5.105945474,20.99362702,21.1770374,21.05289876,5.407171771,0.073591268,-0.044621778,0.265946323
6.23636959,2.772588722,3.610917913,21.04762114,21.17878078,21.07559201,3.737669618,0.232189,0.079748479,0.081705713
5.568344504,1.609437912,2.079441542,21.02557319,21.17696502,21.09191501,2.63905733,0.064230343,0.157320093,0.19752322
4.060443011,1.386294361,1.386294361,21.04190139,21.17136546,21.08060286,1.791759469,0.160206718,0.201790845,0.33126935
6.685860947,1.945910149,3.80666249,21.05593503,21.16764334,21.09466069,4.290459441,0.006052883,0.029111273,0.017801858
7.342131731,2.48490665,4.709530201,20.98861462,21.17930238,21.06697119,5.117993812,0.07673026,-0.037703925,0.102123882
5.669880923,1.609437912,2.302585093,21.1229137,21.17913122,21.13086976,2.302585093,0.093023256,0.208438102,0.537032627
